사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
35,2023.1.7 7:53,2023.1.7 7:54,2023.1.7 8:06,2023.1.7 8:08,2023.1.7 8:25,0:01,0:12,0:02,0:17,서울특별시,송파구,127.0691148,37.52011739,익수,송파소방서,종합운동장119안전센터,구급대 인계,겨울
36,2023.1.7 7:53,2023.1.7 7:54,2023.1.7 7:56,2023.1.7 8:08,2023.1.7 8:15,0:01,0:02,0:12,0:07,서울특별시,송파구,127.0691148,37.52011739,기타 수난 ,119특수구조단,뚝섬수난구조대,타기관 인계,겨울
37,2023.1.7 15:38,2023.1.7 15:39,2023.1.7 15:42,2023.1.7 15:43,2023.1.7 15:50,0:01,0:03,0:01,0:07,서울특별시,강동구,127.1167771,37.54396915,기타 수난 ,119특수구조단,광나루수난구조대,기타안전조치,겨울
38,2023.1.7 19:35,2023.1.7 19:35,2023.1.7 19:40,2023.1.7 19:43,2023.1.7 19:55,0:00,0:05,0:03,0:12,서울특별시,서초구,126.9807479,37.50607775,기타 수난 ,서초소방서,구조대,타기관 인계,겨울
39,2023.1.7 19:35,2023.1.7 19:35,2023.1.7 19:37,2023.1.7 19:39,2023.1.7 19:45,0:00,0:02,0:02,0:06,서울특별시,서초구,126.9807479,37.50607775,기타 수난 ,119특수구조단,수난구조대,타기관 인계,겨울
40,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:47,2023.1.7 19:47,2023.1.7 19:50,0:01,0:05,0:00,0:03,서울특별시,강동구,127.1163217,37.54380296,익수,강동소방서,천호119안전센터,타기관 인계,겨울
41,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:47,2023.1.7 19:47,2023.1.7 19:55,0:01,0:05,0:00,0:08,서울특별시,강동구,127.1163217,37.54380296,익수,강동소방서,구조대,타 기관처리,겨울
42,2023.1.7 19:41,2023.1.7 19:42,2023.1.7 19:45,2023.1.7 19:45,2023.1.7 19:50,0:01,0:03,0:00,0:05,서울특별시,강동구,127.1163217,37.54380296,기타 수난 ,119특수구조단,광나루수난구조대,기타안전조치,겨울
43,2023.1.7 23:35,2023.1.7 23:35,2023.1.7 23:40,2023.1.7 23:47,2023.1.7 23:55,0:00,0:05,0:07,0:08,서울특별시,용산구,127.0109796,37.52899654,기타 수난 ,119특수구조단,수난구조대,타기관 인계,겨울
44,2023.1.8 2:20,2023.1.8 2:21,2023.1.8 2:26,2023.1.8 2:28,2023.1.8 2:45,0:01,0:05,0:02,0:17,서울특별시,서초구,126.9806834,37.50612038,기타 수난 ,서초소방서,구조대,타기관 인계,겨울
